company_id,ticker,company_name,previous_year,current_year,previous_pattern,current_pattern,change_description
BPCL,BPCL,Bharat Petroleum Corporation Ltd,2020,2021,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
BRITANNIA,BRITANNIA,Britannia Industries Ltd,2013,2014,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
BRITANNIA,BRITANNIA,Britannia Industries Ltd,2014,2015,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
BRITANNIA,BRITANNIA,Britannia Industries Ltd,2015,2016,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
BRITANNIA,BRITANNIA,Britannia Industries Ltd,2016,2017,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
BRITANNIA,BRITANNIA,Britannia Industries Ltd,2017,2018,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
BRITANNIA,BRITANNIA,Britannia Industries Ltd,2019,2020,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
BRITANNIA,BRITANNIA,Britannia Industries Ltd,2020,2021,Mixed,Liquidating Assets,Moved from Mixed to Liquidating Assets
BRITANNIA,BRITANNIA,Britannia Industries Ltd,2022,2023,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
BRITANNIA,BRITANNIA,Britannia Industries Ltd,2023,2024,Shareholder Returns,Liquidating Assets,Moved from Shareholder Returns to Liquidating Assets
CANBK,CANBK,Canara Bank,2015,2016,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
CANBK,CANBK,Canara Bank,2016,2017,Reinvestor,Mixed,Moved from Reinvestor to Mixed
CANBK,CANBK,Canara Bank,2017,2018,Mixed,Growth Funded by Debt,Moved from Mixed to Growth Funded by Debt
CANBK,CANBK,Canara Bank,2018,2019,Growth Funded by Debt,Shareholder Returns,Moved from Growth Funded by Debt to Shareholder Returns
CANBK,CANBK,Canara Bank,2019,2020,Shareholder Returns,Growth Funded by Debt,Moved from Shareholder Returns to Growth Funded by Debt
CANBK,CANBK,Canara Bank,2020,2021,Growth Funded by Debt,Mixed,Moved from Growth Funded by Debt to Mixed
CANBK,CANBK,Canara Bank,2022,2023,Mixed,Growth Funded by Debt,Moved from Mixed to Growth Funded by Debt
CANBK,CANBK,Canara Bank,2023,2024,Growth Funded by Debt,Reinvestor,Moved from Growth Funded by Debt to Reinvestor
CHOLAFIN,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,2013,2014,Distress Signal,Growth Funded by Debt,Moved from Distress Signal to Growth Funded by Debt
